#{"t_start": 1752536160.0332599, "env_id": "SafeCartPole-v0"}
r,l,t,c
104.0,104,21.896052,104.0
52.0,52,21.941223,52.0
59.0,59,21.992319,59.0
32.0,35,22.022621,32.0
18.0,24,22.043628,18.0
26.0,26,22.066176,26.0
86.0,86,22.140906,86.0
26.0,27,22.164357,26.0
63.0,63,22.219169,63.0
24.0,24,22.24005,24.0
21.0,21,22.258325,21.0
35.0,35,22.288644,35.0
45.0,49,22.33111,45.0
34.0,34,22.360869,34.0
19.0,19,22.377393,19.0
39.0,39,22.411229,39.0
50.0,50,22.454777,50.0
66.0,66,22.512618,66.0
37.0,37,22.544994,37.0
28.0,28,22.569462,28.0
29.0,29,22.594731,29.0
51.0,55,22.642689,51.0
49.0,49,22.685266,49.0
13.0,13,22.696621,13.0
85.0,85,22.77023,85.0
38.0,38,22.803212,38.0
45.0,51,22.8475,45.0
46.0,87,22.922978,46.0
139.0,200,23.524002,139.0
30.0,30,23.550655,30.0
47.0,47,23.591451,47.0
49.0,49,23.634048,49.0
75.0,119,23.740215,75.0
29.0,45,23.77995,29.0
41.0,122,23.887085,41.0
80.0,80,23.956736,80.0
89.0,89,24.034029,89.0
21.0,21,24.052424,21.0
32.0,32,24.080216,32.0
16.0,16,24.094105,16.0
91.0,91,24.173293,91.0
65.0,65,24.230208,65.0
64.0,70,24.291784,64.0
31.0,61,24.345158,31.0
47.0,47,24.386225,47.0
33.0,33,24.414916,33.0
71.0,71,24.477074,71.0
96.0,96,24.560607,96.0
37.0,37,24.592814,37.0
54.0,148,24.721714,54.0
24.0,24,24.742585,24.0
34.0,34,24.772077,34.0
66.0,66,24.829257,66.0
35.0,39,24.863162,35.0
63.0,63,24.917787,63.0
36.0,36,24.949071,36.0
118.0,118,25.051766,118.0
29.0,29,25.077056,29.0
76.0,88,25.153448,76.0
24.0,60,25.632374,24.0
83.0,92,25.712583,83.0
57.0,114,25.811664,57.0
109.0,109,25.90698,109.0
64.0,171,26.055727,64.0
159.0,179,26.211166,159.0
28.0,28,26.235604,28.0
45.0,76,26.301594,45.0
40.0,94,26.383248,40.0
103.0,103,26.472959,103.0
80.0,95,26.557078,80.0
32.0,32,26.585225,32.0
41.0,58,26.636399,41.0
