time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/approx_kl,train/learning_rate,train/loss,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_score_reward,eval/mean_object_reward
1447936,20567,70,1414,0.0021262097,0.0001776544,-0.0224830973893404,5652,0.150634765625,-0.007726171985268593,0.07106176,0.9451645016670227,-1.5563393384218216,0.018776109616737813,12.1,10565.34,,,,
1448960,20577,70,1415,0.0019564072,0.00017760320000000001,-0.024941783398389816,5656,0.194091796875,-0.008193482353817672,0.07104128000000001,0.952635645866394,-1.523090124130249,0.014956384024117142,12.12,10563.27,,,,
1449984,20586,70,1416,0.0015112518,0.00017755199999999998,-0.018244752660393715,5660,0.083251953125,-0.007337232702411711,0.0710208,0.9165744781494141,-1.5693399310112,0.034135349676944315,12.08,10533.45,,,,
1450000,,,,0.0019606228,0.0001775008,-0.022575248032808304,5664,0.152587890625,-0.007911194988992065,0.07100032,0.9465704560279846,-1.540626272559166,0.01663450466003269,,,7414.4,7414.4,18.6,-339.00000000000006
1451008,20670,70,1417,,,,,,,,,,,12.08,10508.99,,,,
1452032,20680,70,1418,0.0016428137,0.00017744959999999998,-0.018834885209798813,5668,0.090087890625,-0.006587567157112062,0.07097984,0.7850410342216492,-1.5471393689513206,0.030085439677350223,12.25,10440.48,,,,
1453056,20690,70,1419,0.0019444006,0.00017739840000000003,-0.02158185839653015,5672,0.139404296875,-0.008861366339260712,0.07095936000000001,0.8363873362541199,-1.5604286938905716,0.0344556241761893,12.25,10440.48,,,,
1454080,20700,70,1420,0.0017662577,0.0001773472,-0.009163092821836472,5676,0.116943359375,-0.005105767893837765,0.07093888,0.8495990633964539,-1.5151730105280876,0.04107560939155519,12.25,10440.48,,,,
1455104,20710,70,1421,0.0022294177,0.00017729600000000002,-0.019734123721718788,5680,0.1005859375,-0.008337142964592203,0.0709184,0.8358777165412903,-1.5572090446949005,0.039402603870257735,12.25,10440.48,,,,
1456128,20720,70,1422,0.0016652454,0.0001772448,-0.009561793878674507,5684,0.08544921875,-0.006219259579665959,0.07089791999999999,0.8723866939544678,-1.5474590063095093,0.03682412358466536,12.25,10440.48,,,,
1457152,20730,70,1423,0.0015023029,0.0001771936,-0.018841665238142014,5688,0.093994140625,-0.006683164901915006,0.07087744,0.9136557579040527,-1.5318893492221832,0.02973984053824097,12.25,10440.48,,,,
1458176,20740,70,1424,0.0023156074,0.0001771424,-0.015257133170962334,5692,0.154541015625,-0.007268509158166125,0.07085696000000001,0.8541687726974487,-1.5188632160425186,0.044549801386892796,12.25,10440.48,,,,
1459200,20750,70,1425,0.002246357,0.0001770912,-0.01671823486685753,5696,0.1298828125,-0.006919781706528738,0.07083648000000001,0.8762635588645935,-1.5481589585542679,0.021845108887646347,12.25,10440.48,,,,
1460224,20760,70,1426,0.001705868,0.00017704,-0.01433579996228218,5700,0.138671875,-0.004946756467688829,0.070816,0.7678115963935852,-1.5283849835395813,0.026396139641292393,12.25,10440.48,,,,
1461248,20770,70,1427,0.001525752,0.0001769888,-0.024467431008815765,5704,0.08984375,-0.005888456245884299,0.07079552,0.9380884170532227,-1.5343501642346382,0.010157674289075658,12.25,10440.48,,,,
1462272,20780,70,1428,0.0023306112,0.0001769376,-0.021633731201291084,5708,0.169921875,-0.007539726939285174,0.07077504,0.8986610174179077,-1.5225983560085297,0.016666943207383156,12.28,10352.84,,,,
1463296,20790,70,1429,0.0022250128,0.00017688640000000001,-0.021913811564445496,5712,0.109375,-0.006670970586128533,0.07075456000000001,0.9290785193443298,-1.5078360959887505,0.016699685715138912,12.64,10311.31,,,,
1464320,20800,70,1430,0.002386795,0.0001768352,-0.020348329097032547,5716,0.136962890625,-0.008860819682013243,0.07073408,0.9219581484794617,-1.5303120836615562,0.027243117103353143,12.99,10279.02,,,,
1465344,20810,70,1431,0.001400541,0.000176784,-0.006188942119479179,5720,0.182861328125,-0.005266490043140948,0.0707136,0.8401299715042114,-1.522878810763359,0.04007304657716304,12.99,10279.02,,,,
1466368,20821,70,1432,0.0015988403,0.0001767328,-0.02101142704486847,5724,0.110107421875,-0.006306095776380971,0.07069312,0.9314557909965515,-1.5186085999011993,0.02161037066252902,13.0,10272.0,,,,
1467392,20831,70,1433,0.0018018396,0.0001766816,-0.01201703492552042,5728,0.127685546875,-0.007629329396877438,0.07067264,0.9079649448394775,-1.5285997986793518,0.03821205475833267,13.0,10272.0,,,,
1468416,20841,70,1434,0.001623612,0.00017663040000000002,-0.012500587850809097,5732,0.107177734375,-0.006204034143593162,0.07065216,0.8344190716743469,-1.561933971941471,0.043397626373916864,13.13,10196.36,,,,
1469440,20850,70,1435,0.0017452277,0.0001765792,-0.01783229410648346,5736,0.13427734375,-0.00844866078114137,0.07063168,0.7658653259277344,-1.5237449705600739,0.028568576322868466,13.13,10196.36,,,,
1470464,20861,70,1436,0.0022011895,0.00017652800000000001,-0.017624348402023315,5740,0.166748046875,-0.00826143572339788,0.07061120000000001,0.877578854560852,-1.525307983160019,0.0401111610699445,13.15,10167.34,,,,
1471488,20871,70,1437,0.00219485,0.00017647679999999998,-0.017147909849882126,5744,0.115966796875,-0.005769108625827357,0.07059072,0.8348689675331116,-1.5168301537632942,0.036190314567647874,13.15,10167.34,,,,
1472512,20880,70,1438,0.0015323812,0.0001764256,-0.011357450857758522,5748,0.10986328125,-0.004448335384950042,0.07057024,0.7913475632667542,-1.512008436024189,0.06524490495212376,13.15,10167.34,,,,
