time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/learning_rate,train/loss,train/clip_fraction,train/clip_range,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance,train/n_updates,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_object_reward,eval/mean_object_ep_length,eval/mean_score_reward,eval/mean_score_ep_length
416768,407,87,4770,0.0002292128,0.01400652527809143,0.028076171875,0.09168512000000001,-1.2440612092614174,0.07736913836561143,0.0005729277,0.41284602880477905,1624,-0.001807428925530985,4353.53,-19.36,,,,
417792,408,87,4781,0.00022916159999999998,0.02186257392168045,0.05810546875,0.09166464,-1.2825365662574768,0.07184912241064012,0.0009994832,0.5507431030273438,1628,-0.00028434774139896035,4353.53,-19.36,,,,
418816,409,87,4792,0.0002291104,0.012340158224105835,0.066162109375,0.09164416,-1.2407368421554565,0.06499804160557687,0.0015815267,0.5135132074356079,1632,-0.0009313528425991535,4360.04,-19.35,,,,
419840,410,87,4802,0.0002290592,0.019219428300857544,0.0380859375,0.09162368,-1.2770274803042412,0.06612513703294098,0.0014681446,0.36989593505859375,1636,-0.0010994342737831175,4376.63,-19.37,,,,
420864,411,87,4813,0.000229008,0.008173096925020218,0.14599609375,0.0916032,-1.2605432718992233,0.05892690131440759,0.0018737987,0.6192798018455505,1640,-0.001774581498466432,4405.45,-19.34,,,,
421888,412,87,4824,0.0002289568,0.013227616436779499,0.0498046875,0.09158272,-1.2805730551481247,0.0649209173861891,0.0012187639,0.531950831413269,1644,-0.0008928729221224785,4420.83,-19.33,,,,
422912,413,87,4834,0.0002289056,0.016426071524620056,0.1376953125,0.09156224,-1.2645452469587326,0.07309049740433693,0.0009769923,0.4848799705505371,1648,-0.001310108316829428,4420.83,-19.33,,,,
423936,414,87,4845,0.00022885440000000002,0.024341348558664322,0.142822265625,0.09154176000000001,-1.1971368789672852,0.0976266679354012,0.0012064402,0.31122875213623047,1652,-0.002752114931354299,4420.83,-19.33,,,,
424960,415,87,4856,0.0002288032,0.018130935728549957,0.075927734375,0.09152128000000001,-1.2077561020851135,0.07410304341465235,0.0019326524,0.5045442581176758,1656,-0.003631030209362507,4420.83,-19.33,,,,
425000,,,,0.000228752,0.01546927448362112,0.053955078125,0.09150080000000001,-1.2130122929811478,0.06807099026627839,0.0014777852,0.44301867485046387,1660,0.000685293460264802,,,-2684.25,7268.0,-19.8,7268.0
425984,416,86,4944,,,,,,,,,,,4420.83,-19.33,,,,
427008,417,86,4954,0.0002287008,0.02224527671933174,0.251220703125,0.09148032,-1.1970060765743256,0.07285115960985422,0.004730978,0.4761083722114563,1664,-0.0032412309083156288,4423.13,-19.34,,,,
