time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/entropy_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/value_loss,train/learning_rate,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_score_reward
64,5362,346112,338,-1.4073975458741188,0.07470703125,0.8284314870834351,1348,0.0010608465,-0.0015647710097255185,0.09309824,0.058696059975773096,0.0002327456,0.009073350578546524,-19.78,4097.27,,,,
64,5377,347136,339,-1.3896371573209763,0.01171875,0.7139503955841064,1352,0.0009651443,-0.001170786505099386,0.09307776000000001,0.053455346962437034,0.0002326944,0.004842095077037811,-19.76,4112.38,,,,
64,5391,348160,340,-1.3805199936032295,0.048095703125,0.7203317284584045,1356,0.0010038284,-0.000501748756505549,0.09305728,0.0495222550816834,0.0002326432,0.008096100762486458,-19.75,4119.48,,,,
64,5406,349184,341,-1.3868739232420921,0.269287109375,0.5224305391311646,1360,0.0025807784,-0.0019650367903523147,0.0930368,0.07538106059655547,0.000232592,0.011975288391113281,-19.75,4119.48,,,,
,,350000,,-1.3727353289723396,0.030029296875,0.3968208432197571,1364,0.0006347994,-0.0007078779162839055,0.09301632,0.10102220624685287,0.0002325408,0.02983233332633972,,,3056.0,3056.0,-105.904,-21.0
64,5461,350208,342,,,,,,,,,,,-19.73,4123.75,,,,
64,5475,351232,343,-1.3750202432274818,0.098388671875,0.44951868057250977,1368,0.0032287557,-0.002796787302941084,0.09299584,0.0896765508223325,0.0002324896,0.011168638244271278,-19.73,4123.75,,,,
64,5488,352256,344,-1.3628765791654587,0.09814453125,0.4411904215812683,1372,0.0031705215,-0.0011102284188382328,0.09297536,0.09365399880334735,0.0002324384,0.03052539750933647,-19.73,4123.75,,,,
64,5503,353280,345,-1.3903815150260925,0.122802734375,0.6900711059570312,1376,0.0018851843,-0.003590011299820617,0.09295488,0.05866201990284026,0.00023238719999999998,0.008315570652484894,-19.74,4131.56,,,,
64,5518,354304,346,-1.3878540769219398,0.048095703125,0.679245114326477,1380,0.0013065746,-0.0022317195252981037,0.0929344,0.07333771605044603,0.00023233599999999998,0.00970674678683281,-19.74,4131.56,,,,
